subID,condition,Hz,frontal,central,parietal,occipital,ln_Hz,ln_frontal,ln_central,ln_parietal,ln_occipital
oa02,ec,1.994,16.68006,8.5831,25.15268,25.2381,0.690142672,2.814213994,2.149795154,3.224964452,3.228354758
oa02,ec,2.991,4.35576,3.906233333,4.44378,4.147566667,1.09560778,1.471499107,1.362573568,1.491505366,1.422521817
oa02,ec,3.988,2.84872,3.0147,3.07362,2.6109,1.383289852,1.046869771,1.103500323,1.12285602,0.959694989
oa02,ec,4.985,2.20984,2.6264,2.43234,2.077133333,1.606433403,0.792920115,0.965614087,0.888853757,0.730988738
oa02,ec,5.982,1.90522,1.717566667,1.35534,1.277133333,1.78875496,0.644597487,0.54090856,0.304052345,0.244617983
oa02,ec,6.979,1.31886,1.192766667,1.08558,1.102566667,1.94290564,0.276767727,0.176275539,0.082114406,0.097640795
oa02,ec,7.976,1.10436,1.1157,1.05492,0.993666667,2.076437033,0.099265982,0.109482011,0.053464935,-0.006353474
oa02,ec,8.973,0.94448,0.931066667,0.91682,0.893133333,2.194220068,-0.057120767,-0.071424397,-0.086844118,-0.1130194
oa02,ec,9.97,1.14936,0.901933333,0.92528,0.8781,2.299580584,0.139205266,-0.103214671,-0.077658885,-0.129994797
oa02,ec,10.967,1.29332,1.139966667,1.1323,1.0178,2.394890764,0.257212556,0.130999022,0.124250962,0.017643435
oa02,ec,11.964,1.03006,0.9893,1.02212,1.005866667,2.481902141,0.029617053,-0.010757657,0.021878902,0.005849525
oa02,ec,12.961,0.93922,1.0662,0.98978,0.8336,2.561944848,-0.062705535,0.064100925,-0.010272583,-0.182001608
oa02,ec,13.958,0.75572,1.007833333,0.93508,0.749966667,2.636052821,-0.280084342,0.007802812,-0.067123192,-0.287726518
oa02,ec,14.955,0.62234,0.8579,0.70604,0.575066667,2.705045692,-0.474268712,-0.153267736,-0.348083386,-0.553269303
oa02,ec,15.952,0.5653,0.809433333,0.61078,0.5058,2.769584213,-0.570398715,-0.211420865,-0.49301845,-0.681613945
oa02,ec,16.949,0.52366,0.826966667,0.5781,0.4335,2.830208835,-0.64691266,-0.189990891,-0.548008415,-0.835863483
oa02,ec,17.946,0.46686,0.676166667,0.5275,0.451533333,2.887367249,-0.761725852,-0.391315685,-0.639606414,-0.795106081
oa02,ec,18.943,0.43614,0.592266667,0.41758,0.362166667,2.94143447,-0.829791986,-0.523798295,-0.873279136,-1.015650768
oa02,ec,19.94,0.422,0.536066667,0.3774,0.336566667,2.992727765,-0.862749965,-0.623496748,-0.974449646,-1.088959032
oa02,ec,20.937,0.37088,0.435233333,0.3454,0.325166667,3.041517929,-0.991876719,-0.831872993,-1.063052113,-1.123417408
oa02,ec,21.934,0.34216,0.412466667,0.29954,0.301733333,3.088037944,-1.072476815,-0.885599885,-1.205507314,-1.198211654
oa02,ec,22.931,0.34158,0.427566667,0.26134,0.277266667,3.132489707,-1.074173367,-0.849645057,-1.341933037,-1.28277554
oa02,ec,23.928,0.28734,0.3828,0.22412,0.234166667,3.175049321,-1.247089095,-0.960242619,-1.495573656,-1.451722166
oa02,ec,24.925,0.2654,0.362466667,0.20774,0.222666667,3.215871316,-1.326517157,-1.014822763,-1.571467981,-1.502079394
oa02,ec,25.922,0.24668,0.409433333,0.2015,0.217466667,3.255092029,-1.399663329,-0.892981189,-1.601965898,-1.525709697
oa02,ec,26.919,0.20444,0.3402,0.1738,0.1879,3.292832357,-1.587480745,-1.078221599,-1.749850066,-1.671845373
oa02,ec,27.916,0.1733,0.324966667,0.1774,0.185233333,3.329200001,-1.752731082,-1.124032666,-1.729348209,-1.686138987
oa02,ec,28.913,0.16558,0.2897,0.1538,0.170266667,3.364291321,-1.798300817,-1.238909374,-1.872102222,-1.770389443
oa02,ec,29.91,0.1462,0.248966667,0.1258,0.149666667,3.398192873,-1.922779732,-1.39043626,-2.073061935,-1.89934468
oa02,eo,0.997,75.21372,44.07186667,94.17436,81.38753333,-0.003004509,4.320333661,3.785821635,4.545147958,4.399222108
oa02,eo,1.994,8.54326,8.1647,10.1665,10.85543333,0.690142672,2.145142668,2.099819984,2.319098001,2.384665723
oa02,eo,2.991,3.19834,3.8377,3.52816,3.532366667,1.09560778,1.162631925,1.344873229,1.260776489,1.26196809
oa02,eo,3.988,1.95202,2.549266667,2.38272,2.481566667,1.383289852,0.668864734,0.935805736,0.868242692,0.908890081
oa02,eo,4.985,1.38352,1.676166667,1.65484,1.566466667,1.606433403,0.324630976,0.51650944,0.503704327,0.448822552
oa02,eo,5.982,1.0205,1.2338,1.15204,1.040866667,1.78875496,0.020292703,0.210098838,0.141534284,0.040053699
